country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
United States,25463,4.9,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-23
United States,25463,4.9,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-24
United States,25463,4.9,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-25
United States,25463,4.9,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-26
United States,25463,4.9,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-27
United States,25463,4.9,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-28
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-29
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-11-30
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-01
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-02
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-03
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-04
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-05
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-06
United States,25463,5.2,5.5,3.2,3.9,-5.8,129.0,-3.7,334.23,2023-12-07
United States,25463,5.2,5.5,3.2,3.7,-5.8,129.0,-3.7,334.23,2023-12-08
United States,25463,5.2,5.5,3.2,3.7,-5.8,129.0,-3.7,334.23,2023-12-09
United States,25463,5.2,5.5,3.2,3.7,-5.8,129.0,-3.7,334.23,2023-12-10
United States,25463,5.2,5.5,3.2,3.7,-5.8,129.0,-3.7,334.23,2023-12-11
