country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Uruguay,71,0.6,9.5,4.3,8.3,-3.0,66.9,-2.6,3.55,2023-11-23
Uruguay,71,0.6,9.5,4.3,8.3,-3.0,66.9,-2.6,3.55,2023-11-24
Uruguay,71,0.6,9.5,4.3,8.3,-3.0,66.9,-2.6,3.55,2023-11-25
Uruguay,71,0.6,9.5,4.3,8.3,-3.0,66.9,-2.6,3.55,2023-11-26
Uruguay,71,0.6,9.5,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-11-27
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-11-28
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-11-29
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-11-30
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-12-01
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-12-02
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-12-03
Uruguay,71,0.6,9.25,4.3,8.6,-3.0,66.9,-2.6,3.55,2023-12-04
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-05
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-06
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-07
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-08
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-09
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-10
Uruguay,71,0.6,9.25,4.96,8.6,-3.0,66.9,-2.6,3.55,2023-12-11
