country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-23
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-24
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-25
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-26
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-27
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-28
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-29
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-11-30
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-12-01
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-12-02
Uzbekistan,80,,14.0,8.98,6.0,-4.0,36.4,1.4,36.02,2023-12-03
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-04
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-05
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-06
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-07
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-08
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-09
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-10
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-11
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-12
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-13
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-14
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-15
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-16
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-17
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-18
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-19
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-20
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-21
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-22
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-23
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-24
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-25
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-26
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-27
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-28
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-29
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-30
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2023-12-31
Uzbekistan,80,,14.0,8.8,6.0,-4.0,36.4,1.4,36.02,2024-01-01
