country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-23
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-24
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-25
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-26
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-27
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-28
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-29
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-11-30
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-01
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-02
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-03
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-04
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-05
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-06
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-07
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-08
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-09
Venezuela,112,-23.7,56.14,317.6,5.3,-4.5,241.0,3.5,33.36,2023-12-10
