country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-23
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-24
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-25
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-26
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-27
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-28
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-29
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-11-30
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-01
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-02
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-03
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-04
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-05
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-06
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-07
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-08
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-09
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-10
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-11
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-12
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-13
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-14
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-15
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-16
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-17
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-18
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-19
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-20
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-21
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-22
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-23
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-24
Yemen,21,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-25
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-26
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-27
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-28
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-29
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-30
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2023-12-31
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-01
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-02
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-03
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-04
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-05
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-06
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-07
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-08
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-09
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-10
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-11
Yemen,24,,27.0,0.77,13.59,-5.2,68.66,-5.9,33.7,2024-01-12
