country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-23
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-24
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-25
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-26
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-27
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-28
Zambia,30,,11.0,12.6,6.1,-7.8,56.2,3.9,19.61,2023-11-29
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-11-30
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-01
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-02
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-03
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-04
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-05
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-06
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-07
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-08
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-09
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-10
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-11
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-12
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-13
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-14
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-15
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-16
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-17
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-18
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-19
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-20
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-21
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-22
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-23
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-24
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-25
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-26
Zambia,30,,11.0,12.9,6.1,-7.8,56.2,3.9,19.61,2023-12-27
Zambia,30,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2023-12-28
Zambia,30,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2023-12-29
Zambia,30,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2023-12-30
Zambia,30,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2023-12-31
Zambia,30,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-01
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-02
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-03
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-04
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-05
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-06
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-07
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-08
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-09
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-10
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-11
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-12
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-13
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-14
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-15
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-16
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-17
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-18
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-19
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-20
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-21
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-22
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-23
Zambia,29,,11.0,13.1,6.1,-7.8,56.2,3.9,19.61,2024-01-24
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-25
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-26
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-27
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-28
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-29
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-30
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-01-31
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-01
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-02
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-03
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-04
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-05
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-06
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-07
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-08
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-09
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-10
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-11
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-12
Zambia,29,,11.0,13.2,6.1,-7.8,56.2,3.9,19.61,2024-02-13
