country,gdp,gdp_growth,interest_rate,inflation_rate,jobless_rate,gov_budget,debt_gdp,current_account,population,date
Zimbabwe,21,,130.0,17.8,7.9,-0.9,92.6,1.0,15.18,2023-11-23
Zimbabwe,21,,130.0,17.8,7.9,-0.9,92.6,1.0,15.18,2023-11-24
Zimbabwe,21,,130.0,17.8,7.9,-0.9,92.6,1.0,15.18,2023-11-25
Zimbabwe,21,,130.0,17.8,7.9,-0.9,92.6,1.0,15.18,2023-11-26
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-11-27
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-11-28
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-11-29
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-11-30
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-12-01
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-12-02
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-12-03
Zimbabwe,21,,130.0,21.6,7.9,-0.9,92.6,1.0,15.18,2023-12-04
